"Fp2-F4"	"F4-C4"	"C4-P4"	"P4-O2"	"Fp1-F3"	"F3-C3"	"C3-P3"	"P3-O1"	"Fp2-F8"	"F8-T4"	"T4-T6"	"T6-O2"	"Fp1-F7"	"F7-T3"	"T3-T5"	"T5-O1"	"Fz-Cz"	"Cz-Pz"	"t"	"seizure"
0.4578	-6.5613	0.9155	3.0518	-3.3569	-0.6104	-0.7629	-0.9155	-1.5259	-2.594	-2.8992	4.8828	-1.0681	-1.9836	0	-2.594	-1.9836	1.3733	103.1562	1
1.3733	-8.6975	2.4414	4.7302	-3.6621	-0.1526	-1.0681	0	-1.0681	0	-3.6621	4.5776	-1.5259	-1.2207	-0.1526	-1.9836	-3.8147	5.3406	103.1719	1
0.3052	-8.5449	4.425	5.4932	-2.4414	-0.4578	-1.0681	2.1362	0.7629	-0.4578	-3.9673	5.3406	-0.6104	-0.4578	-0.9155	0.1526	-6.1035	7.782	103.1875	1
-1.8311	-12.0544	5.3406	6.1035	-4.1199	-1.8311	-1.3733	2.8992	-0.9155	-1.2207	-5.9509	5.6457	-2.1362	-0.3052	-3.0518	1.0681	-5.7983	3.8147	103.2031	1
-5.3406	-13.2751	3.8147	5.7983	-4.5776	-3.2043	-3.3569	1.9836	-5.188	-2.2888	-6.4087	4.8828	-2.594	-0.3052	-4.2725	-1.9836	-5.9509	-1.6785	103.2188	1
-5.9509	-12.0544	2.594	6.7139	-5.3406	-3.3569	-5.4932	2.1362	-6.1035	-2.4414	-5.7983	5.6457	-4.1199	0.3052	-6.4087	-1.8311	-3.6621	-5.0354	103.2344	1
-2.7466	-10.9863	2.1362	6.2561	-4.425	-3.5095	-5.188	3.0518	-4.7302	-1.6785	-4.1199	5.188	-3.8147	0.4578	-6.2561	-0.4578	-3.9673	-4.425	103.25	1
-0.6104	-9.0027	1.3733	6.1035	-5.3406	-2.8992	-3.8147	3.2043	-3.0518	-0.9155	-4.2725	6.1035	-3.3569	0.3052	-6.1035	0.3052	-5.4932	-0.6104	103.2656	1
-2.594	-8.5449	1.9836	5.7983	-6.1035	-2.594	-3.6621	2.8992	-4.1199	-1.3733	-3.5095	5.6457	-3.5095	0.1526	-5.6457	-0.4578	-8.0872	1.3733	103.2812	1
-5.9509	-7.9346	4.7302	5.4932	-4.1199	-2.4414	-4.425	2.2888	-5.0354	-1.6785	-1.5259	4.5776	-3.5095	0.6104	-4.2725	-1.5259	-8.3923	1.3733	103.2969	1
-7.1716	-8.2397	6.4087	6.7139	-1.9836	-3.5095	-4.2725	1.2207	-6.2561	0.1526	-0.9155	4.7302	-2.8992	1.0681	-4.5776	-2.1362	-6.8664	1.3733	103.3125	1
-5.0354	-9.1553	4.7302	8.0872	-1.3733	-4.2725	-2.8992	1.6785	-4.1199	-1.2207	-1.6785	5.6457	-1.9836	0	-4.1199	-0.7629	-5.188	0.4578	103.3281	1
-4.425	-10.5286	4.1199	7.4768	-2.2888	-3.3569	-3.2043	0.6104	-3.8147	-3.5095	-2.2888	6.2561	-2.7466	-0.1526	-3.9673	-1.3733	-5.0354	-0.4578	103.3438	1
-5.188	-11.5967	2.8992	7.1716	-3.6621	-3.2043	-4.425	0.6104	-3.9673	-6.4087	-2.2888	5.9509	-2.4414	-2.7466	-4.1199	-1.3733	-4.8828	-2.7466	103.3594	1
-4.8828	-13.2751	2.8992	6.1035	-4.2725	-4.8828	-5.7983	1.3733	-3.6621	-5.4932	-3.6621	3.6621	-3.0518	-3.6621	-5.4932	-1.3733	-7.6294	-1.6785	103.375	1
-2.4414	-12.97	2.1362	6.7139	-4.8828	-5.4932	-5.6457	3.0518	-0.7629	-5.0354	-4.8828	4.1199	-3.6621	-3.5095	-5.6457	-0.1526	-10.5286	3.8147	103.3906	1
-3.0518	-12.6648	1.8311	7.3242	-3.9673	-6.7139	-4.425	3.6621	-0.4578	-6.4087	-4.5776	4.8828	-1.9836	-3.9673	-5.7983	0.3052	-12.3596	4.1199	103.4062	1
-5.6457	-11.9018	2.594	7.019	-6.2561	-6.7139	-3.2043	3.9673	-2.594	-6.2561	-5.3406	6.2561	-3.3569	-3.9673	-5.188	0.3052	-12.6648	4.8828	103.4219	1
-7.9346	-11.1389	2.7466	7.019	-6.8664	-6.5613	-2.7466	2.594	-4.5776	-7.019	-2.8992	5.188	-3.0518	-4.5776	-4.7302	-1.2207	-9.9182	1.0681	103.4375	1
-5.9509	-9.1553	3.3569	7.9346	-3.9673	-4.8828	-2.594	3.8147	-3.2043	-5.7983	-0.1526	5.3406	-1.5259	-2.7466	-4.1199	0.7629	-7.782	0.1526	103.4531	1
-4.425	-9.4604	1.3733	5.6457	-5.0354	-6.7139	-3.2043	0.6104	-4.425	-6.8664	-1.8311	6.2561	0	-1.8311	-9.3079	-3.2043	-8.8501	0.6104	103.4688	1
-1.9836	-9.4604	1.0681	4.7302	-6.4087	-5.188	-2.1362	1.8311	-1.3733	-5.9509	-3.6621	5.3406	-2.1362	-1.6785	-6.8664	-1.2207	-10.376	3.2043	103.4844	1
-3.5095	-9.7656	1.9836	4.5776	-7.3242	-4.2725	-2.7466	1.3733	-1.9836	-7.1716	-2.7466	5.188	-2.1362	-2.1362	-7.019	-1.6785	-11.4441	3.3569	103.5	1
-5.9509	-9.1553	2.4414	5.0354	-5.6457	-5.9509	-1.0681	0.6104	-3.3569	-6.4087	-1.9836	4.1199	-0.9155	-1.6785	-7.1716	-2.2888	-10.8337	2.7466	103.5156	1
-5.4932	-8.8501	3.2043	5.6457	-5.4932	-5.6457	-1.6785	1.0681	-2.1362	-5.188	-2.2888	4.1199	-0.7629	-1.6785	-7.9346	-1.3733	-10.376	4.7302	103.5312	1
-4.8828	-8.5449	2.8992	5.6457	-7.019	-5.188	-1.6785	2.1362	-2.2888	-4.8828	-2.594	4.8828	-2.594	-0.9155	-8.6975	0.4578	-10.5286	3.9673	103.5469	1
-4.7302	-8.0872	1.9836	3.6621	-8.0872	-4.2725	-1.0681	1.2207	-3.5095	-4.8828	-3.0518	4.2725	-3.5095	0	-8.5449	-0.1526	-7.6294	-0.3052	103.5625	1
-4.2725	-7.3242	2.7466	1.8311	-6.4087	-3.3569	-1.0681	0	-3.8147	-4.8828	-2.7466	4.425	-1.6785	-1.0681	-7.4768	-0.6104	-5.4932	-2.4414	103.5781	1
-2.7466	-5.3406	2.2888	0.1526	-6.5613	-3.6621	0.3052	-0.4578	-3.5095	-2.1362	-3.3569	3.3569	-2.4414	-1.0681	-5.9509	-0.9155	-5.4932	0.3052	103.5938	1
-0.3052	-3.3569	0.6104	1.6785	-5.188	-3.2043	0.3052	0.9155	-1.0681	-2.2888	-2.8992	4.8828	-1.8311	-0.1526	-5.188	0	-6.5613	4.5776	103.6094	1
0.3052	-3.9673	-0.1526	2.2888	-4.1199	-3.2043	0.1526	0.1526	-0.7629	-3.6621	-3.2043	6.1035	-1.5259	0.6104	-5.188	-0.9155	-8.8501	7.6294	103.625	1
-0.1526	-4.7302	0.1526	2.1362	-3.3569	-3.5095	0.7629	-1.3733	-0.6104	-5.0354	-3.6621	6.7139	-1.2207	0.6104	-3.9673	-2.8992	-7.3242	3.9673	103.6406	1
-1.2207	-3.9673	1.2207	0.4578	-3.9673	-3.6621	1.6785	-2.2888	0.3052	-5.188	-3.3569	4.7302	-2.4414	0.6104	-3.0518	-3.3569	-6.1035	3.2043	103.6562	1
0.3052	-5.188	2.1362	1.5259	-2.8992	-4.1199	1.8311	-2.8992	0.7629	-4.2725	-2.594	4.8828	-2.8992	0.4578	-2.4414	-3.2043	-4.7302	3.3569	103.6719	1
1.3733	-6.4087	3.9673	1.9836	-1.5259	-3.5095	2.1362	-2.594	1.9836	-1.3733	-4.7302	5.0354	-1.9836	1.5259	-2.594	-2.4414	-3.0518	3.5095	103.6875	1
1.2207	-5.4932	4.7302	1.9836	-1.3733	-2.7466	3.0518	-3.3569	1.3733	0.9155	-4.2725	4.425	-1.8311	1.5259	-1.3733	-2.7466	-3.0518	3.8147	103.7031	1
-2.2888	-3.0518	4.7302	2.594	-3.0518	-1.6785	2.594	-2.7466	-2.2888	3.0518	-3.5095	4.7302	-3.8147	1.8311	-1.0681	-1.8311	-4.2725	6.1035	103.7188	1
-3.0518	-1.5259	5.6457	2.4414	-3.0518	-1.0681	1.9836	-3.2043	-4.8828	7.1716	-2.594	3.8147	-3.9673	1.0681	0.4578	-2.8992	-2.7466	6.2561	103.7344	1
-3.8147	0.3052	7.019	3.0518	-0.9155	-1.2207	3.5095	-2.4414	-5.0354	9.4604	-1.5259	3.6621	-1.6785	1.8311	-0.4578	-0.7629	-3.6621	9.613	103.75	1
-2.2888	1.3733	6.2561	2.8992	-0.1526	-2.7466	4.7302	-1.6785	-5.3406	13.4277	-5.3406	5.4932	-0.9155	1.6785	-0.3052	-0.3052	-2.8992	8.5449	103.7656	1
-3.2043	1.8311	4.5776	1.3733	-0.9155	-2.2888	3.9673	-2.594	-5.188	15.8691	-10.6811	4.5776	-1.8311	1.5259	0	-1.5259	-1.2207	6.2561	103.7812	1
-2.2888	-0.3052	3.5095	0.4578	-1.6785	-1.0681	0.9155	-1.8311	-3.2043	22.583	-21.2097	3.2043	-2.2888	0.9155	-0.7629	-1.5259	3.3569	-2.1362	103.7969	1
1.6785	-3.5095	0.3052	1.0681	-2.1362	-2.594	-0.3052	-1.9836	1.6785	26.8554	-31.1279	2.1362	-3.5095	-0.3052	-1.2207	-1.9836	3.5095	-4.5776	103.8125	1
3.6621	-6.7139	-0.4578	2.7466	-0.6104	-1.8311	-0.3052	-2.594	5.4932	24.5666	-32.959	2.1362	-2.594	-0.7629	-0.7629	-1.2207	-0.3052	-1.3733	103.8281	1
2.1362	-7.1716	0.3052	4.1199	-1.5259	-1.6785	1.2207	-3.2043	5.6457	20.9045	-30.2124	3.0518	-2.7466	-0.1526	-0.6104	-1.6785	-1.6785	-0.3052	103.8438	1
-1.9836	-8.2397	2.594	4.2725	-3.3569	-2.594	2.4414	-3.2043	1.6785	17.395	-25.6347	3.2043	-4.8828	0.6104	0.3052	-2.7466	-3.2043	-0.1526	103.8594	1
-3.5095	-6.7139	2.8992	5.0354	-3.8147	-2.7466	2.1362	-2.7466	-1.5259	13.4277	-17.2424	3.0518	-5.188	0	-0.4578	-1.5259	-3.0518	0.3052	103.875	1
-2.8992	-5.3406	2.1362	6.5613	-1.2207	-3.2043	1.9836	-2.1362	-3.6621	11.1389	-9.7656	2.7466	-3.6621	0.4578	-0.6104	-0.7629	-2.4414	1.3733	103.8906	1
-0.3052	-4.425	2.1362	8.3923	0.1526	-2.8992	3.8147	0.1526	-2.2888	12.8174	-7.782	3.0518	-2.2888	1.3733	0	2.1362	-1.8311	4.7302	103.9062	1
0	-5.4932	1.9836	5.6457	-3.2043	-3.8147	3.3569	-1.3733	-3.2043	7.4768	-5.9509	3.8147	-1.9836	1.3733	-3.0518	-1.3733	-4.2725	2.1362	103.9219	1
-0.7629	-6.5613	3.6621	3.9673	-4.5776	-3.5095	4.5776	-2.2888	-2.2888	5.9509	-4.425	1.0681	-5.0354	0.3052	-0.7629	-0.3052	-3.6621	1.6785	103.9375	1
-0.7629	-7.4768	4.5776	4.2725	-2.1362	-3.6621	3.3569	-2.4414	-0.4578	4.5776	-4.425	0.9155	-3.6621	-0.4578	-0.9155	0.1526	-3.6621	2.2888	103.9531	1
-1.5259	-8.5449	5.7983	4.425	-0.4578	-5.188	3.5095	-1.5259	0.6104	7.1716	-9.0027	1.3733	-2.7466	-0.6104	-1.6785	1.3733	-6.1035	3.3569	103.9688	1
-0.9155	-9.0027	5.3406	2.8992	-1.3733	-5.3406	4.1199	-2.4414	1.5259	8.0872	-12.5122	1.2207	-3.2043	-0.4578	-1.8311	0.4578	-7.782	3.0518	103.9844	1
-13.4277	3.9673	-30.8227	48.2177	0.7629	16.6321	-56.1523	48.8281	-3.9673	-15.2588	6.5613	20.5993	93.8415	-77.362	-46.5393	40.1306	18.0054	-37.0788	316	1
-10.2234	3.5095	-32.8064	49.4384	2.2888	16.4795	-56.6101	49.591	-2.4414	-15.7165	6.7139	21.3623	94.1467	-76.7516	-44.0979	38.4521	19.2261	-39.3676	316.0156	1
-7.6294	3.8147	-35.0952	49.2859	2.4414	16.0217	-57.0678	51.8798	-1.3733	-15.564	6.1035	21.2097	93.2311	-75.0732	-44.8608	39.978	17.5476	-38.6047	316.0312	1
-11.7493	5.7983	-34.6374	48.6755	1.5259	15.1062	-57.0678	51.5747	-1.8311	-16.7847	6.5613	20.1416	91.7053	-74.0051	-44.7082	38.1469	17.7002	-36.6211	316.0469	1
-14.6484	3.0518	-31.4331	48.9807	2.2888	14.0381	-58.7463	52.3376	-4.8828	-15.8691	7.6294	19.0735	90.4845	-73.8525	-45.4712	38.7573	18.4631	-40.8935	316.0625	1
-13.7329	2.2888	-31.2805	49.8962	3.9673	13.2751	-59.5092	53.2531	-3.9673	-15.1062	7.4768	18.7683	91.0949	-74.0051	-45.0134	38.9099	19.2261	-40.5883	316.0781	1
-12.3596	2.7466	-34.1797	51.8798	6.4087	12.3596	-58.8989	53.5583	-1.5259	-15.1062	5.6457	19.0735	91.8578	-73.0895	-45.166	39.8254	19.8364	-38.6047	316.0938	1
-12.6648	2.2888	-34.0271	52.0324	5.9509	12.6648	-58.1359	53.7109	-0.9155	-16.9372	5.3406	20.1416	91.5527	-72.0214	-44.7082	39.3676	19.8364	-38.4521	316.1094	1
-15.1062	3.6621	-32.8064	51.5747	4.1199	12.6648	-56.9152	52.4902	-3.5095	-15.1062	6.4087	19.5312	90.0268	-71.4111	-44.7082	38.4521	21.2097	-40.7409	316.125	1
-15.1062	4.425	-33.5693	52.948	3.9673	13.1225	-56.4575	51.4221	-3.2043	-14.3433	6.8664	19.3786	90.6371	-70.343	-45.9289	37.6892	18.6157	-35.553	316.1406	1
-13.8855	7.4768	-35.2478	55.0842	3.8147	11.7493	-53.5583	52.4902	-0.6104	-13.4277	7.3242	20.1416	90.0268	-70.8007	-43.6401	38.9099	18.6157	-31.1279	316.1562	1
-12.8174	5.6457	-34.79	55.3894	0.9155	12.0544	-51.2695	54.1687	-0.1526	-12.97	5.9509	20.5993	88.0431	-70.6481	-42.7246	41.1987	18.7683	-31.8908	316.1719	1
-12.8174	5.0354	-34.0271	57.8308	-0.1526	13.2751	-50.2014	55.8471	-0.6104	-11.9018	6.7139	21.8201	86.8224	-69.7326	-39.6728	41.3513	18.9209	-34.3322	316.1875	1
-15.564	3.8147	-35.2478	55.2368	-2.7466	12.97	-53.2531	52.6428	-4.425	-14.0381	5.0354	21.6675	85.9069	-66.986	-46.0815	36.7737	18.1579	-36.9262	316.2031	1
-13.8855	4.5776	-36.6211	54.0161	-0.7629	14.3433	-55.3894	54.3212	-2.4414	-12.6648	5.0354	18.1579	85.9069	-67.5964	-45.9289	40.1306	17.5476	-36.0107	316.2188	1
-10.2234	2.8992	-37.8418	55.5419	2.594	14.0381	-57.373	55.2368	1.8311	-13.4277	2.4414	19.5312	87.8906	-67.5964	-46.6919	40.8935	14.1907	-31.8908	316.2344	1
-12.5122	3.6621	-39.6728	56.3049	2.1362	12.8174	-56.7627	54.4738	0.7629	-13.8855	1.3733	19.5312	85.4492	-65.6127	-47.76	40.5883	11.2915	-29.602	316.25	1
-14.801	1.8311	-36.4685	55.2368	2.594	11.4441	-56.9152	54.3212	-1.2207	-13.4277	2.2888	18.1579	85.6017	-66.5283	-46.6919	39.0625	11.1389	-33.1115	316.2656	1
-17.7002	2.4414	-34.0271	54.3212	1.9836	10.8337	-57.6782	53.7109	-2.2888	-13.2751	3.5095	17.0898	84.5336	-67.2912	-48.0651	39.6728	13.1225	-34.4848	316.2812	1
-16.7847	4.1199	-35.8581	54.6264	2.594	9.7656	-57.9834	56.1523	-2.4414	-10.8337	2.2888	17.0898	84.381	-68.0541	-48.2177	42.4194	15.7165	-36.1633	316.2969	1
-13.8855	6.4087	-38.1469	54.4738	3.9673	10.2234	-58.1359	56.9152	-0.4578	-10.2234	1.9836	17.5476	84.9914	-67.2912	-49.1333	44.403	16.0217	-36.0107	316.3125	1
-13.2751	6.2561	-39.3676	53.4057	2.594	10.2234	-57.6782	57.6782	0.4578	-12.207	1.9836	16.7847	84.8388	-68.5119	-49.4384	45.9289	15.564	-36.4685	316.3281	1
-14.1907	4.1199	-38.1469	52.4902	0.3052	10.376	-56.6101	56.3049	-1.2207	-12.6648	1.8311	16.3269	83.4655	-68.0541	-49.7436	44.7082	13.1225	-35.4004	316.3438	1
-12.6648	4.1199	-39.0625	52.3376	-0.4578	9.9182	-55.9997	57.8308	0.7629	-13.5803	1.8311	15.7165	82.8552	-67.5964	-51.2695	47.3022	11.7493	-33.8745	316.3594	1
-10.8337	4.425	-40.7409	53.5583	0	11.1389	-57.0678	57.373	1.6785	-12.97	1.9836	15.7165	81.6345	-65.9179	-50.5066	46.2341	13.7329	-35.2478	316.375	1
-10.6811	3.2043	-40.7409	54.6264	1.6785	11.5967	-57.6782	58.5937	2.1362	-12.8174	0.9155	16.1743	82.0922	-62.8662	-51.2695	46.2341	16.0217	-38.2995	316.3906	1
-13.4277	2.1362	-38.9099	54.0161	1.3733	11.5967	-58.4411	56.7627	0.3052	-16.0217	3.3569	16.1743	80.7189	-63.9343	-50.8117	45.3186	16.1743	-41.1987	316.4062	1
-16.0217	2.8992	-38.1469	53.8635	2.1362	12.0544	-60.4248	55.6945	-1.6785	-14.9536	5.0354	14.1907	79.8034	-63.1713	-52.3376	45.166	17.2424	-43.6401	316.4219	1
-14.0381	5.188	-37.8418	54.0161	5.0354	9.3079	-58.8989	57.0678	-0.6104	-11.9018	5.9509	13.8855	80.8715	-62.561	-51.7273	45.9289	16.4795	-37.6892	316.4375	1
-12.0544	8.0872	-38.2995	53.5583	5.7983	9.9182	-59.2041	57.9834	1.2207	-9.1553	5.3406	13.8855	81.0241	-61.798	-52.185	47.4548	15.8691	-35.553	316.4531	1
-13.4277	8.0872	-37.384	52.6428	4.5776	9.4604	-57.0678	57.2204	0.1526	-8.0872	5.3406	12.5122	80.8715	-61.1877	-52.6428	47.1496	14.1907	-35.2478	316.4688	1
-16.9372	6.7139	-34.0271	51.7273	1.8311	9.4604	-57.0678	56.7627	-1.8311	-7.6294	5.0354	11.9018	78.8879	-61.3403	-52.948	46.3867	16.0217	-37.8418	316.4844	1
-16.9372	4.5776	-32.0434	51.1169	1.8311	8.2397	-55.9997	56.1523	-1.5259	-8.6975	6.2561	10.6811	78.4301	-61.9506	-54.4738	48.2177	17.5476	-39.0625	316.5	1
-13.8855	5.0354	-34.9426	51.4221	2.2888	8.8501	-56.4575	57.373	0.1526	-7.1716	4.1199	10.5286	78.8879	-61.1877	-54.6264	48.9807	17.8528	-38.2995	316.5156	1
-10.6811	2.4414	-36.1633	52.948	1.0681	11.2915	-57.373	57.5256	3.6621	-9.613	3.0518	11.4441	78.8879	-61.0351	-53.4057	48.0651	15.7165	-37.0788	316.5312	1
-11.1389	-0.4578	-35.2478	52.185	-0.6104	12.3596	-56.6101	55.9997	2.8992	-11.4441	2.1362	11.7493	77.5146	-60.5773	-53.8635	48.0651	12.97	-36.4685	316.5469	1
-11.7493	-1.2207	-34.0271	51.1169	-1.5259	12.8174	-55.9997	53.7109	1.3733	-9.613	2.4414	9.9182	75.9887	-59.6618	-55.0842	47.76	12.207	-36.9262	316.5625	1
-9.9182	0	-33.4167	50.6591	0.3052	12.8174	-56.3049	52.6428	3.3569	-9.0027	3.0518	9.9182	75.6835	-59.5092	-54.0161	47.3022	13.8855	-36.3159	316.5781	1
-7.9346	1.5259	-36.4685	52.948	2.4414	11.5967	-56.1523	52.6428	4.7302	-8.2397	1.2207	12.3596	76.4465	-58.1359	-54.0161	46.2341	15.1062	-37.9944	316.5938	1
-9.7656	2.8992	-39.3676	52.185	3.2043	10.8337	-55.8471	51.5747	3.3569	-10.0708	1.2207	11.4441	76.7516	-58.8989	-54.0161	45.9289	15.2588	-42.1142	316.6094	1
-10.376	4.7302	-42.1142	50.5066	4.2725	10.6811	-58.1359	50.354	3.6621	-13.4277	1.0681	11.4441	76.7516	-58.7463	-56.3049	45.4712	15.2588	-45.166	316.625	1
-11.1389	4.2725	-39.6728	49.1333	5.4932	10.376	-58.5937	49.7436	2.1362	-11.7493	2.2888	9.9182	76.1413	-58.2885	-56.4575	45.6237	13.7329	-41.5039	316.6406	1
-8.0872	3.9673	-39.6728	51.5747	7.4768	11.5967	-59.8144	52.7954	3.8147	-11.1389	4.7302	10.376	77.6672	-57.5256	-56.6101	48.5229	12.207	-35.7055	316.6562	1
-8.5449	3.8147	-40.1306	50.0488	6.4087	11.4441	-61.4929	53.8635	3.2043	-11.7493	3.2043	10.5286	77.9724	-58.4411	-57.8308	48.5229	12.207	-34.6374	316.6719	1
-12.8174	4.425	-37.384	49.591	4.7302	10.9863	-59.2041	53.2531	1.3733	-10.8337	3.5095	9.7656	76.1413	-57.9834	-57.5256	49.1333	14.0381	-39.6728	316.6875	1
-16.0217	2.1362	-33.2641	48.3703	3.2043	11.9018	-58.1359	52.185	-0.4578	-10.2234	4.425	7.4768	75.9887	-57.8308	-58.2885	49.2859	16.1743	-41.0461	316.7031	1
-15.8691	1.9836	-32.6538	50.0488	3.0518	11.5967	-56.9152	53.7109	-0.9155	-9.4604	5.4932	8.3923	75.0732	-57.0678	-57.8308	51.2695	17.7002	-41.1987	316.7188	1
-13.5803	3.5095	-34.9426	48.9807	2.4414	13.7329	-58.1359	55.2368	0.9155	-9.3079	5.4932	6.8664	74.4628	-56.7627	-56.7627	52.3376	16.9372	-39.0625	316.7344	1
-15.564	3.6621	-32.6538	49.7436	2.1362	13.5803	-57.5256	54.6264	0.3052	-6.8664	3.8147	7.9346	73.6999	-56.4575	-56.3049	51.8798	12.207	-36.0107	316.75	1
-18.1579	3.3569	-30.6701	47.9126	0.4578	13.7329	-56.9152	53.4057	0	-7.1716	3.2043	6.4087	72.6318	-55.9997	-57.2204	51.2695	9.4604	-32.8064	316.7656	1
-19.3786	4.1199	-28.6865	46.8444	0.4578	13.7329	-57.2204	53.2531	-0.3052	-5.9509	4.1199	5.0354	71.8688	-55.8471	-57.9834	52.185	10.5286	-32.959	316.7812	1
-18.3105	5.9509	-29.9072	48.3703	3.5095	11.5967	-57.0678	55.6945	0.7629	-3.9673	3.6621	5.6457	73.6999	-55.3894	-58.2885	53.7109	13.7329	-34.9426	316.7969	1
-18.0054	8.6975	-31.7383	48.6755	4.1199	11.2915	-57.8308	56.7627	1.8311	-2.8992	2.4414	6.2561	73.0895	-55.6945	-57.8308	54.779	13.8855	-34.6374	316.8125	1
-17.0898	5.7983	-29.602	46.6919	3.9673	11.4441	-58.1359	56.1523	2.8992	-4.7302	2.8992	4.7302	73.2421	-55.3894	-57.9834	53.5583	15.564	-39.2151	316.8281	1
-17.8528	4.1199	-28.9917	46.5393	3.0518	11.1389	-57.6782	54.779	3.8147	-7.019	1.8311	5.188	71.5637	-55.3894	-58.4411	53.5583	16.0217	-41.5039	316.8438	1
-12.97	3.6621	-33.4167	47.1496	2.8992	11.7493	-57.6782	54.3212	6.8664	-9.4604	1.6785	5.3406	71.4111	-55.0842	-58.1359	53.1005	14.4958	-38.2995	316.8594	1
-7.9346	7.3242	-41.1987	47.6074	4.1199	10.8337	-56.4575	54.9316	9.613	-9.9182	0.4578	5.6457	72.174	-54.6264	-57.0678	52.948	12.5122	-33.7219	316.875	1
-6.7139	7.1716	-42.572	46.997	3.0518	11.7493	-55.0842	53.8635	10.376	-11.2915	-0.7629	6.5613	71.2585	-54.0161	-56.4575	52.7954	13.4277	-34.6374	316.8906	1
-12.5122	5.6457	-35.2478	46.8444	0.7629	12.5122	-52.3376	52.0324	8.3923	-12.0544	0.9155	7.4768	69.8852	-53.2531	-56.1523	52.4902	12.8174	-34.1797	316.9062	1
-18.6157	6.5613	-32.196	46.5393	0	13.2751	-53.5583	52.7954	2.8992	-10.2234	3.6621	5.9509	68.5119	-52.4902	-56.6101	53.1005	14.4958	-35.7055	316.9219	1
-16.4795	8.6975	-35.0952	46.8444	0.7629	14.3433	-54.6264	51.8798	2.594	-9.1553	5.9509	4.5776	68.8171	-51.8798	-57.9834	53.4057	16.1743	-36.6211	316.9375	1
-12.8174	8.0872	-36.0107	47.6074	3.6621	14.6484	-57.0678	55.5419	3.0518	-7.4768	5.188	6.1035	69.1223	-50.6591	-57.6782	55.9997	13.1225	-33.2641	316.9531	1
-15.1062	6.1035	-32.3486	46.8444	4.2725	14.3433	-57.6782	55.5419	3.5095	-7.3242	3.8147	5.4932	68.5119	-50.2014	-57.6782	55.8471	10.0708	-32.3486	316.9688	1
-16.3269	4.8828	-28.6865	44.5556	4.2725	13.5803	-58.4411	57.5256	4.1199	-7.9346	5.4932	2.7466	67.5964	-49.1333	-59.8144	58.2885	12.0544	-35.4004	316.9844	1
0.3052	2.1362	-3.8147	3.5095	3.0518	-0.7629	1.2207	5.6457	1.9836	0.1526	-2.7466	2.7466	1.8311	2.2888	3.8147	1.2207	-4.5776	12.207	741	1
-1.0681	2.1362	-1.8311	2.7466	4.5776	-1.9836	1.5259	5.6457	1.2207	-0.3052	-1.0681	2.1362	2.7466	1.8311	3.8147	1.3733	-3.2043	10.8337	741.0156	1
